sentiment,content
worry,"trying to upload a custom background on here, but it's not working"
sadness,"hillsong tom. night, and dad's birthday! i wish i could see him on his bday though."
fun,"AHHH - Whatchu talkinï¿½ baby? HAHAHA I canï¿½t believe youu:O heh, actually I can. Life is worth taking risks..."
sadness,I need to sit my insides hurt ughhh
surprise,most likelyy. Just need to save the money and practice my ass off.
relief,it sleepy time [&lt;cody&gt;]
sadness,should not have waled past the Quad! I want to be outside having fun.
love,totally forgot she had soccer today. ugh today was actually good too...
enthusiasm,Don't let the sun catch you crying - Oh my.. so cool
anger,"yes, boo for soar throats and earaches!"
neutral,wished I watched jon &amp; kate plus 8 on monday
neutral,Morning. I closed out EUR/JPY 132.25 132.00 and place a stop 130.55 131.55. That 132.25 was executed while i was asleep
worry,"yeahh, yeah its the hifi lol. grr dads being a pain, he said if i dont find anyone to go with i cant go"
worry,"awwww, writing my resume's too difficult XD how do i tell them i've taken 10 different jobs and quit them within the span of two months?"
worry,Wishing I made enough money to do whatever I want! Sux... No money in education
fun,i've been wanting it for 2 years LOL...that and a HD camcorder
boredom,"Just got home from the bank, the teller was definitely hitting on me. Not interested."
fun,just kick their asses and call it a day.
worry,"oh dear, hope you are feeling better soon, get some nice hot chicken soup down you."
worry,Brittany moved
surprise,oh my. i have to play cluedo.
worry,aww you poor dear! But it was awesome you came out to race!
sadness,"SPGridView is looking prettier, but I'm pretty sure my code is very ugly."
empty,"'Whats your stand on gay marriage?' - me. 'what the fuck natalie, stop asking me these gay ass questions! Go get a job!' - dad."
worry,"haha, nice wheels. Victoria will be doing her own peddling thankfully, the boys will get the free ride"
worry,time to leave a passive agressive note to the owners. It's not the dog's fault... it's their shitty owners
neutral,Yeah
neutral,At branding iron with drea! White boubous and cowgirls can get down! Haha crunk! For the next couple hours! Haha fun times!
worry,"yea, it's looking like we may be a no-show I havnt been able to get out of my art/sci obligations."
sadness,I miss her alot and its only been one day
love,Zach G. gets an extensive profile in this weekend's NY Times Magazine. The chances of us falling in love are getting fewer and fewer.
worry,"such a failure, i just ate a char siew pao just when i thought i can skip dinner and go along my non-existent diet"
empty,Got let go today
sadness,I feel like I'm going to toss my cookies
happiness,"BBQ's gone well ! Weather stayed good which is a right bonus. Just off to bed, training in the morning at 06:30 then work"
worry,thinkin &amp; tryin 2 figure out lifes tricks
surprise,- and I just saw this monster dog in the park
sadness,I think i need some new friends
hate,I feel so useless
neutral,Aren't you suppossed to support the local economy ... LOL ... good for you and congrats
worry,"definitely, or even just &quot;i'll call you&quot;, they never do how was ur day? xx"
empty,Midnight ice-cream weather! So damn bored
neutral,thanks
love,lol awesome i have randoms following me
relief,thanks for the link love yesterday by the way
worry,At work I don't like today its nasty outside can't wait to get home today and clean my house!
surprise,"Im sorry I don't think I stick out, at least compared to what I used to look like."
surprise,Off to Dollarama -- I wish I had a new job
worry,grrrr youtube wont let me watch the chat again
love,one day my hugs will come *fingers still crossed*
neutral,exam on active directory tomorrow.
happiness,Did it!! back in pakistan! -
neutral,I am thinking about reading that too! She is talking about it on the View too! Not that you miss it often
neutral,Damn everyones nappin on the beach. I wake up and half the crew is ko'd lol aww i wish i had a cuddy buddy tho
neutral,which case? I got a new one last week and I'm not thrilled at all with mine.
happiness,YES!! I wanna come hang out with my H-TOWN gurl u know whats up!! haha it'll be bangin! We gotta hang out chick
neutral,"Obama last night: &quot;Most of you covered me, all of you voted for me. Apologies to the Fox table.&quot;"
sadness,bye bye South Beach....u never let me down
sadness,I think I have hayfever. Not sure due to wearing next to nothing in horrific weather on wed.
fun,"word is marlon brando gave him 25 cent . . . yeah , tha GODFATHER"
neutral,"Yep, ah, damn, I don't wanna leave my warm doona to get a hot beverage...I guess I'll just have to make do w/o it"
happiness,I'm so honored to hear my name on a Breezy track hope u liked my shit! #drunk_bowling
neutral,Getting some sleep. Stuff with the family and a ton of homework tomorrow. Night
happiness,Yep!!
sadness,Headache
worry,"have to wear my glasses today, cos my right eye is swollen and i don't know why"
sadness,Ahhh. U know ur sh*t...Love it!!! lol How's the next issue coming along? Been out the loop sowwy
neutral,People eight years my junior can't understand most of my references
worry,Squashed Foot xx
worry,"it might be sunny today, but alas, new product must make it to Etsy!"
hate,rah rah. youtube isn't working again. oh great
love,and the Creative VADO's are out of stock at walmart.com (missed it) but thanks for tweeting about it
neutral,wanna do some sessions with ronnie he da bomb u know?
worry,This is to all the people who have MySpaces: PLEASE ADD!!! it's my friend's clothing line
happiness,"yeah, I also had to do a paper.. I only have one more final left: algebra.. &amp; I take it on my birthday!! (june 3)"
love,"So twitter is a journey now. well, okay."
enthusiasm,Cute dress! Hyped
happiness,"Haha! What's it like looking back on work? Or fun, as I'm sure it was"
neutral,Nearly grand prix time
worry,Is anyone's #visialvoicemail working. Have done the sync. Turned off &amp; on. But still not going Help?
neutral,"what's up? Not much, just listening to music I'm in TX"
worry,i'm pretty bored/tried. my mom is going to be home in an hour. is fixing to leave. aww... she's going to texas for a month..
worry,had a panic with the car .....
worry,"Lol, me too!!"
neutral,Thundershowers plus baseball equals awwww
sadness,my knees are sore after physio
relief,I am off to bed now....my family has a wonderful day planned for me today Happy Mother's Day
fun,watching run fat boy run...haha its soo funny.
happiness,"Goodnight twitterworld. I'll tweet y'all later. Goodnight, J."
worry,"Not good, I know that feeling. Hope you get well soon."
happiness,"Yeah, it's good. Just startled me."
sadness,Ordered a new computer! Unfortunately it won't get here until the end of June.
worry,oh noo.. i cant see it
worry,I miss the old healthy me and I am loosing faith that I ever will be again
neutral,Leno's last show tonight.
surprise,&quot;Up&quot; is all sold out!!
worry,i wish i had friends i could spend the night with
fun,assumes it wasnt so taboo to start an email with &quot;LOL&quot; considering that the reply it got started with &quot;ROFL. PWN3D.&quot; I love the internet!
neutral,waaaaay over all tht bitchy ninth grade bullshit (: half yearly exams over &amp; im sickkk
hate,Hanging out at the San Fran airport. Got a few hour wait until I go anywhere...BTW SFO's $7 wifi is garbage.
relief,also finally home with no friends or anyone.. kinda nice to sit in a quiet room.. do wish the gf was here tho...
worry,grrr hate when i make careless mistakes on docs i give to my partner
happiness,*PEN JAM CLEARED* CLICK!
hate,has not finished the bio mols mind map stupid sheet hid sections from me on the back!
neutral,"AZ's Finest Vol. 3...intro, how it lookn?????"
happiness,morning prayer meeting how AMAZING is the gift of prayer!!! i'm completely buzzing this morning! In christ alone my hope is found!
sadness,I'm missing everything at work I want pix of !!
neutral,"Client consult in Valley Ranch, then home to work some more"
hate,"I hate mondays, but I love schedule. HELLO, DIGG REEL!"
love,We are having a day 'at home' today - which is proving to be rather lovely
surprise,I was gonna go for aiden but I had a girl so I went with scarlet
neutral,??? ?????? -
enthusiasm,shout outs to good seein you tnite. WE takin over like DJ Khaled!
relief,Finished up cleaning my desk at least. . . office is looking empty. . .almost time to be in the car for 1 1/2! #fb
worry,just called Toyota. Car won't be ready til 5.
worry,sunbae* my bad jst scratch wht i said im talking nonsense here.. lol!!! enjoy the perfs
hate,in the mailbox already for 2 hours
sadness,Wondering how come mcdonalds take so long to deliver my food.
sadness,Ja Deze is interessanter - Why text messages are limited to 160 characters -
neutral,"i've heard that ST isn't true imax- shot at 1828x1556 and blown up to 4096, still- nice big screen!"
empty,Good Morning Rock Star Nurse
worry,rblpnBro Not quite where I need to be here ... sad but true. Soon however all will be WELL 6wks ?
relief,lol oh dnt worry u'l be able to squeeze it soon enough!! Hope you have a good day today!
neutral,a Dutch marketing agency is asking job applicants to apply in 140 characters or less
love,"Lol - we're like polar opposites, Ben! Maybe that's why we get on so well"
worry,I have to pee.
empty,Has finally taken a shower after much distraction from twitter and the bubble wrap off to read and drink a smoothie
fun,Ahhh so Jealous! Have a nice time and I'll see you when you get back x
happiness,tom is not with u! hahahahahahhah he's with my bff
worry,uh oh u gonna fire somebody??
surprise,Wow! Some person u are!
love,What a fun night
love,happy mother's day mummy i love you. xo
worry,"the next 2 weeks, exam wise, are AWFUL. there are 8 exams and I don't see how I can adequately revise all of them I care least about..."
worry,i'm hungry. i want scrambled eggs again. my grandma always makes perfect scrambled eggs. my mum sucks at it. so i'll go make some myself!
sadness,Day off with nothing to do
worry,if I know what you want it is easier to please you ;). I am glad you mentioned it
neutral,Thanks for the info
surprise,you can still stay if you want to!
worry,sun - where are you?
sadness,Is at the botanical gardens and its beautiful but she forgot an extra memory card so no pictures today
love,i would love to come visit you in Korea.. next flight that is under 100 i am there!
happiness,"go to mid valley la boobs haha! never mind la, i don't wanna go with you anyways"
sadness,OMG how sad is The Royle Family where Nana dies I am sobbing!!!! :*( it's the saddest thing I've ever watched
worry,Omg i'm so sad. I jus took in that gossip girl is done
neutral,"Good afternoon all. Sorted technical glitch. A rainy BH monday so a lazy day, then daughters and their menfolk round for a roast dinner"
sadness,OH NO ZOMBIEPIX DON'T FOLLOW ME ANYMORE... NEED SOMEONE TO CHEER ME UP
worry,"Work day 7 of 7,"
love,finished proofing the wedding from March .. now just waiting for export and upload before I can share Still have 2 more sessions to do!
sadness,"I've begged my mum to lt me get them out the attic.. but she wont let me Waaa... and yes, was spoilt! hehe!"
surprise,ah nick youï¿½ve set the vid to private do you not want everyone 2 see it or has it been a mistake?
hate,"I am native, not french ! I hate this ! ! ! Trying to find animals in french, I SUCK, SOMEONE HELP PLEEEEEASE ? Alone- Allison Iraheta ?"
neutral,"It's Friday, it's payday...oh yeah, as a state employee I had 1/2 of 1 percent of my annual salary deducted from my paycheck"
happiness,I actually envy you even though I've already seen it. It was that good!
relief,But it was worth it xxx.
sadness,"Yes, I'm the only stupid girl of my kind!!"
relief,thanks again
happiness,"hahaha! Yes, I do"
sadness,some people seem to be getting over it pretty quick and the guys to me didn't seem to care
neutral,"thankyou sugaaar btw I'll leave this town on 7, really hope could see you next time ya ra. Skrg sempit bgt sih waktunya ya"
neutral,wishes the rain would stop so my stupid headache would go away!
relief,I know. It's not hard to NOT click reply. Sorry to hear about the possible stomach condition Sucks to deal with.
neutral,On way home tonight I saw a newspaper headline 'Susan Boyle quits....' surely not true
sadness,Got a bad headache
fun,On my way to dazzle bar!!
neutral,Hey! How u feeling? I know Charla hit me to see there were any places she can go..too young Did she have fun?
surprise,"googled mothers day, PHEW, US &amp; UK have different dates! Learn something new every day"
neutral,Snap To Grid. I just realized that I haven't seen Iqbal in 5 days.
hate,But I am with you... I hate doing it... can't we just make music and magically not have to worry about money awe... sigh...LOL
neutral,Well there's nothing to do but to keep swimming. You'll get there eventually
neutral,If I loved this any more I'd streak thru the hood damnit ! I'm pumped
neutral,Listening to Jesse's music &amp; on MySpace. Also getting the hang of Twiiter. I feel that i need more followers. Don't be shy!
sadness,"Ntah, I really wanna be there"
neutral,20 at least hugh happy trails
hate,And maybe you will get the statue and sainthood you are seeking. Win-win for all. Can't be a victim like your people.
sadness,"Is competition around the corner? if not take it slow for at least a week. Twisted my ankle back in jc, awfully painful."
relief,cool! ok yeah see i dont have the old files with separate vocals so im trying to punch em all up as one track(all i can do)
sadness,Waiting on the bus! I miss my car
sadness,Noooooooooooooooooooooooooo! You can't do that
sadness,I have not recieved any mail in over a month life is boring
surprise,Bradiee may I ask why your picture is a cat?? haha ily xx
sadness,the cokies arnt real imaginary will hav to do mmmmmmmmmmmm cookie...
neutral,Happy Mother's Day!
happiness,Raining... I missed the rain so much... I am grateful for it ;)
neutral,there it is. postieeee
surprise,For those of you heading out of vancity I've heard the hwy is closed east bound at cwack
neutral,check out my twitpic telling people to buy your album!
fun,Gonna go drop some logs in the pool back in 15 min
love,"It seems my grandmother has found a way to break a pipe in her house, going to go there now and fix it, she is such a blur woman"
love,i &lt;3 maria but i wish she was in my class!!! i love her lol bored in class again!!
love,going to sleep with my baby
happiness,"time to do some revision while listening to albums non-stop all day, again!"
neutral,Rumbo a bachilleres
happiness,i cooked breakfast for my mom HAPPY
neutral,Done With Exams...Now Focusing on Summer School...DAYUUMM Life's Hard
happiness,Had a great time last night!
happiness,aww i hope it does fly by because JT episodes are usually really good (and it's early but so far this ep hassn't disappointed)
happiness,happy mama's day ladies! have a good day.
worry,A little irked at the moment
neutral,"Although Wolverine wasn't a great movie, I don't think it was as bad as everyone is saying...&amp; at least Taylor Kitsch was in it"
neutral,I was hoping I could just drop them into ~/.vim so both Vim and MacVim could share them
empty,Nooooothing to do tonight
sadness,"i am sleeepyyy. today = busy. work 10-4, library, class 6-7:20, tanning, packing, bit of sleep, atlantic city airport, myrtle beach"
happiness,haha that's way cool! Good morning
worry,"heck, who am I kidding, he's better with a camera than I am, that's for sure! LOL He likes video too but he dropped his vid cam"
love,HA! Nice try. I will outright deny any accusations. But good luck with that...
neutral,I know right but hopefully something comes up though
neutral,important person? who?
love,my mum thought that my brother laughing was the cat about the throw up... smooth
happiness,Mom says I have to get a new phone IMMEDIATELY....off to T-Mobile. she paying....
empty,Currently working on a collab with Alynn Carter called Lost Inside which I'm very excited about
happiness,"haha no problem, it's fun isn't it"
love,addict? Me? Okay I admit I need help BUT... I have been writing hits big bro. I really really have *smile*
sadness,Is babysitting 3 dogs...they are all over the place...
happiness,Happy Birthday and cheers to PAO!!
empty,How inconsiderate!
happiness,lucky...you get to do capoeira
relief,"PB&amp;J makes me happier than anything else in the world I love that when I'm tired, my demands are so simply met"
worry,Hope the train remembers the way - they can go a bit loopy on bank holidays
neutral,write write write!!!
neutral,"Can't, did I forget to say that? hahaha I wouldn't be able to get home."
sadness,Hehe it's an option if the (advertising) world wasn't such a mess! So I might in future! We're on same time yes. Lï¿½get i dï¿½g?
surprise,"See you October! Love the new book, when's the next one out?"
love,sorry I Havent Ate Breakfast Yet So Ima Go Eat Over There lololol and my pc is dying bbl love ya
love,I love my life Ni night twitter!&lt;3
neutral,chale... a ver define &quot;out&quot;
happiness,awww i bought my mom the cutest things for mothers day woop woop mee expert shoper
worry,"hun are you okay? I see alot of your posts your exercising like mad,not eating or sleeping"
love,"Yeah, I'm not really feeling it either. Of course, I don't like the movie line, I wish that we were getting more Animated."
neutral,timberlake... Sorry I am late caps such I hate them lol
neutral,"missing my granpa, goingo to church, its been two hard months without him!!"
worry,I feel like a lost puppy without my phone.
love,how r u feeling? and when r u guys coming back to canad?... come to vancouver!
worry,This porridge tastes shit! I cba with today man.
happiness,"awesome, I'm glad you like it. FYI - Platinum Notes 3.0 should be out as a free upgrade this summer"
neutral,ive totally 4got the donation link gonna double my donation this week ;) x
empty,Staying in the mercure
worry,wow i'm soo hungover
worry,IKR. I myself am headed out for a meeting.
worry,ur gonna be missed you know but i hope things will be better for you
worry,Still no Internet today
happiness,Not one of my favourite pastimes This weekend is a long weekend here so Monday I'm off to an Ice Show w/ the G/daughter ;)
worry,"is hungry, but can't leave for lunch"
neutral,may the 4th be with you
enthusiasm,"hahaha. I'm driving, so I leave roundabouts when I wake up tomorrow. Arrive proximately 5 hrs from then. See ya tmw!"
happiness,what a great day
neutral,"wow, goin to Ethiopia? Biz? Holiday? Some other mission? Very keen to go there"
hate,"I want to shoot Viva Hate... this is only the second time since I got my new camera I've had a chance, and the other was pitch black"
fun,"I've totally been MIA, i know bad me"
neutral,"Penguins win in OT, probably why you were busy. One more game to win."
happiness,At the doctors office woooo so much fun. Have to go back to wotk after this cant afford to be off.
worry,my pooooor baby (my dog chachi) she had surgery todayyyyy
neutral,I'm sitting around wanting to do something any ideas?
surprise,Waaah! Masseuse is fully booked. No shoulder rub today.
neutral,Bouncing Rush makes me feel nauseous
worry,Sorry to hear about the laptop troubles. Hope you can get them fixed and the lappy back to norm.
neutral,Back in Spain
neutral,Back from Worcester. My work week starts on Friday at 2:30.
happiness,Good morning everyone
happiness,"im sure he will and if its not today, maybe it will be tomorrow.."
neutral,I've got one too though i think mine was attributed to the seizure inducing color/light show in the movie The Soloist.
neutral,just got back from skating. Hanging with James
love,Why did i drive and how did i make it? Ahh margaritas are the BEST!!
worry,"Thanks for the R, but, sorry, the LOTR was spam."
love,Today is a blessed day
surprise,Just had my hair cut it looks like shit
hate,"I saw slater on some MTV show, So you think you wanna dance with slater or some crap like that. Where's Kelly Kapowski"
neutral,I do the same thing to my parents and my best friend too
sadness,Gotta go now .. i'm going to Circus .. the real Circus not Britney's Tour sadly ..
worry,Just got back from a run &amp; I'm feeling grrrrrreeeeeaat!!!
neutral,"any chance you'll have a Madison, WI location soon? maybe too small..."
surprise,so what if i cried
worry,that's bad luck!
surprise,"haha, yeah i meant mall! -winks back-"
love,"I tripped over a rubbish bin at Warehouse Stationary just before. Not a great Mothers' Day so far, but I'm thinking it will improve"
neutral,Nice I've never been to Spalding but one year I will make it to the flower show. Is Springfields a good shopping centre?
worry,why yes jeeves. bring me that noose there TOO MANY ASSIGNMENTS!
empty,yup! way to fucking early and I'm already at work
sadness,lost my keys at the mall... took me 45 mins to find them
worry,Holy cheese sending things to the motherland is muy caro
sadness,We are so sad the beautiful Marisa dresses are leaving today (tear)
empty,Boo Im lonely and bored
enthusiasm,Nice yo!!! Live it for me buddy!
worry,Really big spider on the floor two metres away from me am actually a little scared.
enthusiasm,"Looking to sketch final catwalk outfit, i really REALLY want my long pink hair back. i also want to dye my models hair pink not allowed"
worry,I'm here!... Jdubb is his funky job...I guess.. We're neglected
worry,Gees can this week get anymore horrible....now i cant go to spain
relief,ohay clean teeth
relief,At home about to go to sleep! Goodnight twitter world!
hate,Why don't adobe realise no one WANTS to pay for Photoshop et al so they should just give it to us for free
fun,No sleepover tonight
fun,Nope wasn't kidding at all. Sometimes I think of you as Forest Gump (during his running years).
love,bitter? why? *hug* xx
relief,"Im free at last, tomorrow I get to remember what Sundays look like"
worry,Soon I hope... Really need to finish the cloning project so I can get more done
happiness,Having a cup of tea I have a cold so it's tasting really good!
hate,at economics i wanna go homeeeeeee im tired and i hate the teacher. and iï¿½m sick of half of my classmates and i wanna go home and sleep
worry,v. good. i thought you were registered na?
worry,but they're hungryyyyyy
neutral,&quot;The truth is hiding in your eyes&quot; Paramore ï¿½ Decode ?
sadness,Hangin out and drinkin beers with ..dude brought me a new pair of purple kicks.. I'm gonna wear them on the Act III cover..
neutral,On the phone with the bank.
surprise,WTF!!!! LMAO!!! *Just got hit in the head with bloody balls*
worry,whatever u want us to wear / stick / show off around DUMBO Brooklyn &amp; Manhattan
empty,25 hours and counting.
relief,don't worry just sleep.
sadness,"bout to watch notorious cause that's how i'm feelin now. wish i could eat something, but i can't. surgery tomorrow. no food til saturday"
neutral,Your Welcome
worry,that's not good! hope you get better soon and good luck with the exams!
happiness,"it's a perfect day to throw back your head and kiss it all good bye - love it, so cheerful!! ?"
happiness,Hes away longer then me. Im only away for a few hours
happiness,"Hi, Thx for following I teach some Chinese lessons on youtube, pls feel free to have a look www.youtube.com/ChineseLearn"
sadness,Hope that migraine doesn't stick around for too long.
sadness,LMAO!!! Man I was so bummed when she stopped braiding
hate,i have to study :O talk to you later xxx
sadness,Happy Grey's day everyone! Oh I miss Grey's!!
worry,i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain
neutral,No problem. I'm just sharing the whole list to you.
worry,I need skott right now
sadness,"&gt;&gt;Why did the Blonde Keep failing her drivers license test--------&gt;&gt;&gt;&gt;&gt;Everytime they stopped, she jumped in the back seat."
neutral,lmfaaoooo i just watched the Pink video....you know me to well i love it...soooo me lol
worry,*moment of silence* for the Budget i'm bout to b on I spend wayyy to much $$$.... OMG! I'm on a Budget?!?!
relief,Feeling pretty good this morning! Lets hope it lasts through the day
sadness,Bad times for everyone Whywhywhy do we have to write essays No fair!
happiness,"Nope, I'm on my way home now."
neutral,- We owe you a LOT.
hate,"Ugh, I hate 90 degree weather"
sadness,i wish i were hanging out with kobe right now
sadness,Bah a coworker ran into work late and her bag smacked into my knee it really hurts now
hate,Will have to it's only across the water and all. Just damned expensive
neutral,gymnastics time. My last night for teaching Friday evening classes. New summer schedule starts next week.
sadness,hey guys y did the sun make my day gloomy?
surprise,"NOOOOO! serena and darrian don't remember each other, and i've been waiting all day to see them confess their love"
sadness,Poor dead Josh. Please leave your messages of condolences there. #boy #rip ||| That's sad.
neutral,It's almost past 3. Time to go to bed
sadness,really not feelin well...
empty,Work...work....work....
happiness,New York from 1500ft looks rather good. Last night in the Big Apple.
love,"awwww ray you're the best. it means a lot to me that you say that! i can't wait to hang with you again, hopefully soon!"
sadness,I really miss Sebastian
love,bless her lil socks... think they need to rethink the age thing me
worry,I am up and feeling pretty damn gud! I dont even have a hangover what a nice feeling
happiness,Partied long and hard...goodnight Twitter see ya in the mornin
neutral,i think i could wear you out
neutral,I'm Such a nerd. Reading my first of many books this summer
worry,"Stupid me, accidentally gave my honey the Atomic flavored buffalo wings and now his stomach feels just awful..... Im sorry baby"
neutral,depois tu pode ver outras sï¿½ries. te indico two and a half men e the big bang theory. bem diferentes de 90210. comï¿½dias.
love,im very much excited to go back to school
love,Goodmorning to you!Thank you so much for being so kind? The sun is out and I'm going to paint outside
neutral,its stormy
happiness,Great job!
happiness,Is enjoying staying in the house today
surprise,Aw *hugs* Sorry man. If I were rich I'd buy u a ticket NOW!
happiness,Dinner with the family. Watching wild child in the car
relief,I agree! &amp;&amp; I like the new pic!
neutral,is bored Riah fell asleep and now I have nothing to do maybe I will go to bed good night
worry,"I know! they were running out though, Soph had to get a massive one..."
happiness,"c is nice, but I wouldn't call it fun"
empty,"i tried changing my pic but twitter is a hater im a doctor of awesome !! other than that, im just a medical assistant :]"
surprise,wat the! you were in riverside??
fun,"lol 'if u knew better, u'd do better, wouldnt wear Uggs in shoe weather...' awww RIP Stack B"
neutral,I wanna do something tonight after work.... But I dunno what...
sadness,I got me a little too much sun today
happiness,First Day at the new job! Yeah!
worry,my msn crashes way too much hmph
neutral,"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless"
neutral,The &quot;holy cow&quot; is what did this to me.
sadness,Duncan finally got his orders... leaves for Iraq in September. Open invite to stay with me anytime during the year he'll be gone
worry,"dunno where to start, so many things to do..."
worry,Greenville Drive games just aren't the same without the &quot;Baseball Guy&quot; clown.
worry,"yeh still have the weekend, but I get weekends anyways, today is my full last day of vacation time"
neutral,This one brings back so many memories Michael Penn &quot;This and that&quot; ? #musicmonday
sadness,No one wants to sit with me at lunch I guess I'll just bury my head in my laptop and continue to be anti-social.
worry,Nobody's home tonight. Except me. Alone. Sigh. Oh how I wish was here
happiness,"you have been busy, have a lovely time"
hate,I'm not trying to get more followers. I'm trying to get MORE INTERACTION!!!!!!!!!
worry,My right ear's been blocked up today bit like when you've got water in it. Any idea's 2 clear it? don't like putting liquid in
worry,So im playing hooky from work and it feels good Gonna go get ma hair did! .......i wonder how fitzsimmons is doing?
fun,"Hahaha. No, I haven't. I think I'll reserve it for next weekend. Have some paperwork to do. Or maybe tonight!"
neutral,:: from Ate Kaila Ocampo of the.rainbowholic.me&amp;&amp;eerie-silence.net
happiness,I LOVE PD! So fucking good! I wanted to try something new...I give it 2.5/5 stars. It's meh.
worry,its ok mate I stayed in as well losers aren't we
happiness,"Not addicted, just sociable."
neutral,yeah... I suppose
neutral,im talking about twitter some more
neutral,is new to twitter.... needs some studying here
happiness,Same here - coffee is the lifeline to all things good
happiness,- I like it!!
sadness,"awwww I'll be waiting then, hope it doesn't rain"
neutral,going offline. buhbye twit
hate,Headed to Parking Facilities to turn in permit renewal. Not being across from the breakroom means I check snailmail once a month.
neutral,work sucked .. another 8 hour shift with only 30 dollars to show for.. i need a new job...
fun,finished eating sushi with ladiez getting shwasteddddddddd**
sadness,I doubt it! Boo! You always leave me behind on your awesome roadtrips!
happiness,"Why yes, we did see tonight. Delicious dinner by chef Geoff chez A-Lo/G-Mo. Hope to see him again pre-departure"
hate,does not like ups much today...
worry,"Whew. Finally done editing my Friendster account. Haha! Oh, geez. I'm hungry."
love,"rt #barcampbkk3 for entertainment at night, bring your favourite mp3s .. there should be a way we can enjoy music together"
happiness,On the bus to NYC
love,i am a bit more curious: how much did you pay for it?
love,no school today! that's greeeeeat!
surprise,"Isn't he awesome?? There are tons more coming, that was just one of three locations"
worry,"It's not monsoon season in Telluride yet, so why does it keep raining everyday?!"
neutral,I just spent 2 hours looking for a blog topic and ended up inventing my own. grrrr
worry,Algebra test in three hours!
sadness,"strongly agrees with Jason about Wolverine, but not about Hugh Jackman. Sorry. No kids for this Mouse."
neutral,that doesn't sound like fun
happiness,it makes perfect sense. I guess i am very down to earth. Thanks for your reply
worry,av ad a realy gd day wiv Ciara Connolly at park gate west kirby and new brighton.. fukin funny bt sunburnt.. luks like drivers arm
neutral,So physical therapy
worry,if officially done with high school.... so sad... i miss them already! movie later???
neutral,At the airport waiting
enthusiasm,"I can't wait to start my weekend. I'm so sick of working, I have to self-medicate, and I'm fresh out of herb"
worry,Santana - Maria Maria (The Wraith) ?
neutral,I guess cant request the same song though
neutral,looking at all my old myspace status' oh mann. Skyrockets in flight! afternoon delight! AAAAAAAAfternoon delight!
worry,"unfortunately, I will miss Girl Bros. Radio tonight. Will be in the midst of an all night writing session"
love,happy mommy day!!
worry,Never has a chance of sleeping before midnight my mind is so tired......
relief,I'm going to open up PROVERBS and get as much wisdom as possible-I'm hungry!
neutral,"I can't say I've tried, but then again, I haven't tried with a sword either Not yet, anyway."
neutral,probably not I want to go home
worry,my new lens isn't working. It worked for a bit and now gives an fEE error
relief,I PUT A SHELF UP lol im well proud and yes its my twilight shelf my books the movies going on there and obv my prezzie from lara XD (L)
love,I'm gonna havta temp stop fllwing u while ur talkin abt kobe bc I loveeeeeeee him &amp; I'm taking it personal and I like lebron 2.
neutral,"Trending you say? Well, there's TweetCannon"
worry,why so quiet lately?
neutral,just got home. errrr... V.Luna hospital is so far. :|
neutral,if i had a car
neutral,had a great night
worry,Just discovered a painful sunburn on my right sholder hopefully it just turns into a tan!
happiness,Time for me to go to sleep! It's almost 1am. Night everyone! Happy mothers day to all the moms out there
happiness,"oo. and studied today outside after having a ben+jerry's.. wearing a sundress, hopefully didn't get an awkward tan line.. haha!"
love,Im really in the mood to go on a date
hate,Fuckin padtron con sheila.neil.gio.dex.wongo.poncho.bebo.ant.lulu&amp;therest of the niggasz
fun,Watching Ellen Love her!! then doing the dishes and tanning ...it's gorgeous out!
relief,Done studying bout the earth
sadness,"it's so sad, i'd love to talk to you but i live in the uk can't wait for the new album, please say hi to me xxx"
love,getting my new cellphone on wednesday! the LG Voyager! its soo sweet! i can't wait that long though
hate,i hate my new section this school year.. huhu..
fun,"you have a viable excuse, helping move and all. Sorry I couldn't help! I wanted to wear my sexy moving outfit"
enthusiasm,is off to RENT soon Hope I can get home tonight though with all the train problems :s ...
neutral,"If you think Florida's heat will be too much, I will reluctantly take your place"
neutral,also just spoke to my &lt;3... ï¿½tearï¿½
happiness,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks
love,last few hours in singapore!! i don't want to leave!!!!!
neutral,what did you decide on for din-dins?
happiness,At the concert! I hope makes a guest appearance
worry,...and you're on my mind.. like all the time..
worry,"...wait, I lied."
neutral,Gudluck to !!
surprise,Happy Mother's Day!
enthusiasm,oh you crazy kids and your stress. try effed / not effed; followed by acceptance. works wonders for the rest of the world
happiness,Restoring new iTouch 2. Excited to use it. Yeeeeeeeee. Goodbye iTouch 1.
worry,First time in my live that i got a little pop up on the taskbar saying that one of my files was corrupt and I needed to run chkdisk
neutral,"Man, looking through and packing up my books is looking at my past lives. Feeling kind of sentimental"
neutral,Well it sounds like sum kids with matches lit sum grass on fire
worry,I need a new phone already or i needa go to the store and see if they'll fix mine o.O
empty,that busy wowsa .. okay my pizzas gonna be a while sorry..
happiness,"up early again loads to do- but the suns out, hurrah!"
sadness,we'll miss you! I'm sad I didn't get to meet you
surprise,Not even better than Kapsel cha Dy nulis notes? Spertinya gw ga ditag cuz g ada notificationnya... Huhu.
surprise,Dinner and A Movie with the Hubby
